id,matchtime,mainteam,visitteam,m_score,v_score
0,2018-6-9,德国,沙特,2,1
1,2018-3-28,德国,巴西,0,1
2,2018-3-24,德国,西班牙,1,1
3,2017-11-15,德国,法国,2,2
4,2017-10-9,德国,阿塞拜,5,1
5,2017-9-5,德国,挪威,6,0
6,2017-6-30,德国,墨西哥,4,1
7,2017-6-25,德国,喀麦隆,3,1
8,2017-6-23,德国,智利,1,1
9,2017-6-11,德国,圣马力,7,0
10,2017-3-23,德国,英格兰,1,0
11,2016-10-12,德国,北爱,2,0
12,2016-10-9,德国,捷克,3,0
13,2016-9-1,德国,芬兰,2,0
14,2016-7-3,德国,意大利,1,1
15,2016-6-26,德国,斯洛伐,3,0
16,2016-6-17,德国,波兰,0,0
17,2016-6-13,德国,乌克兰,2,0
18,2016-6-4,德国,匈牙利,2,0
19,2016-5-29,德国,斯洛伐,1,3
20,2016-3-30,德国,意大利,4,1
21,2016-3-27,德国,英格兰,2,3
22,2015-10-12,德国,格鲁吉,2,1
23,2015-9-5,德国,波兰,3,1
24,2015-6-11,德国,美国,1,2
25,2015-3-26,德国,澳大利,2,2
27,2014-10-15,德国,爱尔兰,1,1
28,2014-9-8,德国,苏格兰,2,1
29,2014-9-4,德国,阿根廷,2,4
30,2014-7-14,德国,阿根廷,0,0
31,2014-7-1,德国,阿尔及,0,0
32,2014-6-22,德国,加纳,2,2
33,2014-6-16,德国,葡萄牙,4,0
34,2014-6-7,德国,亚美尼,6,1
35,2014-6-2,德国,喀麦隆,2,2
36,2014-5-14,德国,波兰,0,0
37,2014-3-6,德国,智利,1,0
38,2013-10-12,德国,爱尔兰,3,0
39,2013-9-7,德国,奥地利,3,0
40,2013-8-15,德国,巴拉圭,3,3
41,2013-3-27,德国,哈萨克,4,1
42,2012-10-17,德国,瑞典,4,4
43,2012-9-8,德国,法罗,3,0
44,2012-8-16,德国,阿根廷,1,3
45,2012-6-29,德国,意大利,1,2
46,2012-6-23,德国,希腊,4,2
47,2012-6-10,德国,葡萄牙,1,0
48,2012-6-1,德国,以色列,2,0
49,2012-3-1,德国,法国,1,2
50,2018-6-3,巴西,克罗地,2,0
51,2017-10-11,巴西,智利,3,0
52,2017-9-1,巴西,厄瓜多,2,0
53,2017-3-29,巴西,巴拉圭,3,0
54,2017-1-26,巴西,哥伦比,1,0
55,2016-11-11,巴西,阿根廷,3,0
56,2016-10-7,巴西,玻利维,5,0
57,2016-9-7,巴西,哥伦比,2,1
58,2016-6-13,巴西,秘鲁,0,1
59,2016-6-9,巴西,海地,7,1
60,2016-6-5,巴西,厄瓜多,0,0
61,2016-5-30,巴西,巴拿马,2,0
62,2016-3-26,巴西,乌拉圭,2,2
63,2015-11-18,巴西,秘鲁,3,0
64,2015-10-14,巴西,委内瑞,3,1
65,2015-9-6,巴西,哥斯达,1,0
66,2015-6-28,巴西,巴拉圭,1,1
67,2015-6-22,巴西,委内瑞,2,1
68,2015-6-18,巴西,哥伦比,0,1
69,2015-6-15,巴西,秘鲁,2,1
70,2015-6-11,巴西,洪都拉,1,0
71,2015-6-8,巴西,墨西哥,2,0
72,2015-3-29,巴西,智利,1,0
73,2014-10-11,巴西,阿根廷,2,0
74,2014-9-10,巴西,厄瓜多,1,0
75,2014-9-6,巴西,哥伦比,1,0
76,2014-7-13,巴西,荷兰,0,3
77,2014-7-9,巴西,德国,1,7
78,2014-7-5,巴西,哥伦比,2,1
79,2014-6-28,巴西,智利,1,1
80,2014-6-24,巴西,喀麦隆,4,1
81,2014-6-18,巴西,墨西哥,0,0
82,2014-6-13,巴西,克罗地,3,1
83,2014-6-7,巴西,塞尔维,1,0
84,2014-6-4,巴西,巴拿马,4,0
85,2013-11-20,巴西,智利,2,1
86,2013-11-17,巴西,洪都拉,5,0
87,2013-10-15,巴西,赞比亚,2,0
88,2013-9-11,巴西,葡萄牙,3,1
89,2013-9-8,巴西,澳大利,6,0
90,2013-7-1,巴西,西班牙,3,0
91,2013-6-27,巴西,乌拉圭,2,1
92,2013-6-23,巴西,意大利,4,2
93,2013-6-20,巴西,墨西哥,2,0
94,2013-6-16,巴西,日本,3,0
95,2013-6-10,巴西,法国,3,0
96,2013-6-3,巴西,英格兰,2,2
97,2013-3-26,巴西,俄罗斯,1,1
98,2013-3-22,巴西,意大利,2,2
99,2012-11-15,巴西,哥伦比,1,1
100,2018-6-12,比利时,哥斯达,4,1
101,2018-6-7,比利时,埃及,3,0
102,2018-6-3,比利时,葡萄牙,0,0
103,2018-3-28,比利时,沙特,4,0
104,2017-11-15,比利时,日本,1,0
105,2017-11-11,比利时,墨西哥,3,3
106,2017-10-11,比利时,塞浦路,4,0
107,2017-9-1,比利时,直布罗,9,0
108,2017-6-6,比利时,捷克,2,1
109,2017-3-26,比利时,希腊,1,1
110,2016-11-14,比利时,爱沙尼,8,1
111,2016-10-8,比利时,波黑,4,0
112,2016-9-2,比利时,西班牙,0,2
113,2016-6-18,比利时,爱尔兰,3,0
114,2016-6-14,比利时,意大利,0,2
115,2016-6-5,比利时,挪威,3,2
116,2016-6-2,比利时,芬兰,1,1
117,2015-11-14,比利时,意大利,3,1
118,2015-10-14,比利时,以色列,3,1
119,2015-9-4,比利时,波黑,3,1
120,2015-3-29,比利时,塞浦路,5,0
121,2014-11-17,比利时,威尔士,0,0
122,2014-11-13,比利时,冰岛,3,1
123,2014-10-11,比利时,安道尔,6,0
124,2014-9-5,比利时,澳大利,2,0
