chinese_name,score
德国,1544
巴西,1384
比利时,1346
葡萄牙,1306
阿根廷,1254
瑞士,1179
法国,1166
西班牙,1162
智利,1146
波兰,1128
秘鲁,1106
丹麦,1054
英格兰,1040
突尼斯,1012
墨西哥,1008
哥伦比亚,989
乌拉圭,976
克罗地亚,975
荷兰,969
意大利,947
威尔士,931
冰岛,930
瑞典,889
美国,880
哥斯达黎加,858
奥地利,841
北爱尔兰,837
塞内加尔,825
斯洛伐克,786
伊朗,784
乌克兰,777
爱尔兰共和国,776
罗马尼亚,737
巴拉圭,737
苏格兰,735
塞尔维亚,732
土耳其,714
刚果民主共和国,711
委内瑞拉,709
澳洲,700
波黑,688
摩洛哥,681
黑山,671
希腊,657
捷克共和国,647
埃及,636
尼日利亚,635
挪威,608
匈牙利,604
加纳,603
喀麦隆,603
牙买加,587
刚果,585
保加利亚,583
布基纳法索,582
巴拿马,574
阿尔巴尼亚,549
玻利维亚,548
佛得角群岛,545
洪都拉斯,530
日本,528
韩国,520
芬兰,507
厄瓜多尔,506
阿尔及利亚,499
斯洛文尼亚,495
俄罗斯,493
马里,462
沙特阿拉伯,462
科特迪瓦,458
几内亚,450
库拉索岛,439
南非,432
中国,431
乌干达,426
叙利亚,423
马其顿,422
赞比亚,412
白俄罗斯,410
加拿大,407
阿拉伯联合酋长国,405
黎巴嫩,404
卢森堡,401
贝宁,397
萨尔瓦多,392
塞浦路斯,386
阿曼,383
乌兹别克斯坦,381
加蓬,374
伊拉克,372
特立尼达和多巴哥,366
爱沙尼亚,364
法罗群岛,364
格鲁吉亚,362
巴勒斯坦,357
印度,354
亚美尼亚,347
以色列,347
利比亚,341
卡塔尔,339
越南,334
塞拉利昂,332
几内亚-比绍,330
毛里塔尼亚,314
莫桑比克,311
纳米比亚,308
圣基茨和尼维斯,303
海地,302
尼日尔,299
朝鲜,297
肯尼亚,289
菲律宾,289
津巴布韦,287
马达加斯加,284
中非共和国,283
巴林,281
哈萨克斯坦,273
约旦,272
马拉维,269
塔吉克斯坦,266
