,id,mainteam,visitteam,matchtime,m_score,v_score,mt,vt,mt_grad,vt_grad,score
0,0.0,德国,沙特,2018-6-9,2.0,1.0,1,0,1544,300,2
1,1.0,德国,巴西,2018-3-28,0.0,1.0,1,2,1544,1384,0
2,2.0,德国,西班牙,2018-3-24,1.0,1.0,1,8,1544,1162,1
3,3.0,德国,法国,2017-11-15,2.0,2.0,1,7,1544,1166,1
4,4.0,德国,阿塞拜,2017-10-9,5.0,1.0,1,0,1544,300,2
5,5.0,德国,挪威,2017-9-5,6.0,0.0,1,48,1544,608,2
6,6.0,德国,墨西哥,2017-6-30,4.0,1.0,1,15,1544,1008,2
7,7.0,德国,喀麦隆,2017-6-25,3.0,1.0,1,50,1544,603,2
8,8.0,德国,智利,2017-6-23,1.0,1.0,1,9,1544,1146,1
9,9.0,德国,圣马力,2017-6-11,7.0,0.0,1,0,1544,300,2
10,10.0,德国,英格兰,2017-3-23,1.0,0.0,1,13,1544,1040,2
11,11.0,德国,北爱,2016-10-12,2.0,0.0,1,0,1544,300,2
12,12.0,德国,捷克,2016-10-9,3.0,0.0,1,0,1544,300,2
13,13.0,德国,芬兰,2016-9-1,2.0,0.0,1,62,1544,507,2
14,14.0,德国,意大利,2016-7-3,1.0,1.0,1,20,1544,947,1
15,15.0,德国,斯洛伐,2016-6-26,3.0,0.0,1,0,1544,300,2
16,16.0,德国,波兰,2016-6-17,0.0,0.0,1,10,1544,1128,1
17,17.0,德国,乌克兰,2016-6-13,2.0,0.0,1,30,1544,777,2
18,18.0,德国,匈牙利,2016-6-4,2.0,0.0,1,49,1544,604,2
19,19.0,德国,斯洛伐,2016-5-29,1.0,3.0,1,0,1544,300,0
20,20.0,德国,意大利,2016-3-30,4.0,1.0,1,20,1544,947,2
21,21.0,德国,英格兰,2016-3-27,2.0,3.0,1,13,1544,1040,0
22,22.0,德国,格鲁吉,2015-10-12,2.0,1.0,1,0,1544,300,2
23,23.0,德国,波兰,2015-9-5,3.0,1.0,1,10,1544,1128,2
24,24.0,德国,美国,2015-6-11,1.0,2.0,1,24,1544,880,0
25,25.0,德国,澳大利,2015-3-26,2.0,2.0,1,0,1544,300,1
26,27.0,德国,爱尔兰,2014-10-15,1.0,1.0,1,0,1544,300,1
27,28.0,德国,苏格兰,2014-9-8,2.0,1.0,1,34,1544,735,2
28,29.0,德国,阿根廷,2014-9-4,2.0,4.0,1,5,1544,1254,0
