,id,simple_name,english_name,chinese_name,search_name,score
0,1,BR,Brazil,巴西,bra,1384
1,2,DE,Germany,德国,ger,1544
2,3,ES,Spain,西班牙,esp,1162
3,4,PT,Portugal,葡萄牙,por,1306
4,5,FR,France,法国,fra,1166
5,6,AR,Argentina,阿根廷,arg,1254
6,7,EN,England,英格兰,eng,1040
7,8,BE,Belgium,比利时,bel,1346
8,9,CO,Colombia,哥伦比亚,col,989
9,10,PE,Peru,秘鲁,per,1106
10,11,UY,Uruguay,乌拉圭,uru,976
11,12,CH,Switzerland,瑞士,sui,1179
12,13,HR,Croatia,克罗地亚,cro,975
13,14,MX,Mexico,墨西哥,mex,1008
14,15,PL,Poland,波兰,pol,1128
15,16,DK,Denmark,丹麦,den,1054
16,17,SE,Sweden,瑞典,swe,889
17,18,IS,Iceland,冰岛,isl,930
18,19,IR,Iran,伊朗,irn,784
19,20,RS,Serbia,塞尔维亚,srb,732
20,21,KR,South Korea,韩国,kor,520
21,22,SN,Senegal,塞内加尔,sen,825
22,23,CR,Costa Rica,哥斯达黎加,crc,858
23,25,JP,Japan,日本,jpn,528
24,26,RU,Russia,俄罗斯,rus,493
25,27,NG,Nigeria,尼日利亚,nig,635
26,28,MA,Morocco,摩洛哥,mar,681
27,29,PA,Panama,巴拿马,pan,574
28,30,EG,Egypt,埃及,egy,636
29,31,TN,Tunisia,突尼斯,tun,1012
30,32,SA,Saudi Arabia,沙特阿拉伯,ksa,462
