,home_team,visiting_team,mt,vt,mt_grad,vt_grad
0,俄罗斯,沙特阿拉伯,66,67,493,462
1,埃及,乌拉圭,46,17,636,976
2,俄罗斯,埃及,66,46,493,636
3,乌拉圭,沙特阿拉伯,17,67,976,462
4,沙特阿拉伯,埃及,67,46,462,636
5,俄罗斯,乌拉圭,66,17,493,976
6,摩洛哥,伊朗,42,34,681,784
7,葡萄牙,西班牙,4,8,1306,1162
8,葡萄牙,摩洛哥,4,42,1306,681
9,伊朗,西班牙,34,8,784,1162
10,伊朗,葡萄牙,34,4,784,1306
11,西班牙,摩洛哥,8,42,1162,681
12,法国,澳大利亚,7,0,1166,300
13,秘鲁,丹麦,11,12,1106,1054
14,丹麦,澳大利亚,12,0,1054,300
15,法国,秘鲁,7,11,1166,1106
16,澳大利亚,秘鲁,0,11,300,1106
17,丹麦,法国,12,7,1054,1166
18,阿根廷,冰岛,5,22,1254,930
19,克罗地亚,尼日利亚,18,47,975,635
20,阿根廷,克罗地亚,5,18,1254,975
21,尼日利亚,冰岛,47,22,635,930
22,冰岛,克罗地亚,22,18,930,975
23,尼日利亚,阿根廷,47,5,635,1254
24,哥斯达黎加,塞尔维亚,25,35,858,732
25,巴西,瑞士,2,6,1384,1179
26,巴西,哥斯达黎加,2,25,1384,858
27,塞尔维亚,瑞士,35,6,732,1179
28,塞尔维亚,巴西,35,2,732,1384
29,瑞士,哥斯达黎加,6,25,1179,858
30,德国,墨西哥,1,15,1544,1008
31,瑞典,韩国,23,61,889,520
32,韩国,墨西哥,61,15,520,1008
33,德国,瑞典,1,23,1544,889
34,韩国,德国,61,1,520,1544
35,墨西哥,瑞典,15,23,1008,889
36,比利时,巴拿马,3,55,1346,574
37,突尼斯,英格兰,14,13,1012,1040
38,比利时,突尼斯,3,14,1346,1012
39,英格兰,巴拿马,13,55,1040,574
40,英格兰,比利时,13,3,1040,1346
41,巴拿马,突尼斯,55,14,574,1012
42,哥伦比亚,日本,16,60,989,528
43,波兰,塞内加尔,10,28,1128,825
44,日本,塞内加尔,60,28,528,825
45,波兰,哥伦比亚,10,16,1128,989
46,日本,波兰,60,10,528,1128
47,塞内加尔,哥伦比亚,28,16,825,989
