,Unnamed: 0,home_team,visiting_team,mt,vt,mt_grad,vt_grad,score
0,0,俄罗斯,沙特阿拉伯,66,67,493,462,2
1,1,埃及,乌拉圭,46,17,636,976,0
2,2,俄罗斯,埃及,66,46,493,636,2
3,3,乌拉圭,沙特阿拉伯,17,67,976,462,2
4,4,沙特阿拉伯,埃及,67,46,462,636,2
5,5,俄罗斯,乌拉圭,66,17,493,976,0
6,6,摩洛哥,伊朗,42,34,681,784,2
7,7,葡萄牙,西班牙,4,8,1306,1162,2
8,8,葡萄牙,摩洛哥,4,42,1306,681,2
9,9,伊朗,西班牙,34,8,784,1162,0
10,10,伊朗,葡萄牙,34,4,784,1306,0
11,11,西班牙,摩洛哥,8,42,1162,681,2
12,12,法国,澳大利亚,7,0,1166,300,2
13,13,秘鲁,丹麦,11,12,1106,1054,2
14,14,丹麦,澳大利亚,12,0,1054,300,2
15,15,法国,秘鲁,7,11,1166,1106,2
16,16,澳大利亚,秘鲁,0,11,300,1106,0
17,17,丹麦,法国,12,7,1054,1166,0
18,18,阿根廷,冰岛,5,22,1254,930,2
19,19,克罗地亚,尼日利亚,18,47,975,635,2
20,20,阿根廷,克罗地亚,5,18,1254,975,2
21,21,尼日利亚,冰岛,47,22,635,930,0
22,22,冰岛,克罗地亚,22,18,930,975,2
23,23,尼日利亚,阿根廷,47,5,635,1254,0
24,24,哥斯达黎加,塞尔维亚,25,35,858,732,2
25,25,巴西,瑞士,2,6,1384,1179,2
26,26,巴西,哥斯达黎加,2,25,1384,858,2
27,27,塞尔维亚,瑞士,35,6,732,1179,0
28,28,塞尔维亚,巴西,35,2,732,1384,0
29,29,瑞士,哥斯达黎加,6,25,1179,858,2
30,30,德国,墨西哥,1,15,1544,1008,2
31,31,瑞典,韩国,23,61,889,520,2
32,32,韩国,墨西哥,61,15,520,1008,0
33,33,德国,瑞典,1,23,1544,889,2
34,34,韩国,德国,61,1,520,1544,0
35,35,墨西哥,瑞典,15,23,1008,889,2
36,36,比利时,巴拿马,3,55,1346,574,2
37,37,突尼斯,英格兰,14,13,1012,1040,2
38,38,比利时,突尼斯,3,14,1346,1012,2
39,39,英格兰,巴拿马,13,55,1040,574,2
40,40,英格兰,比利时,13,3,1040,1346,0
41,41,巴拿马,突尼斯,55,14,574,1012,0
42,42,哥伦比亚,日本,16,60,989,528,2
43,43,波兰,塞内加尔,10,28,1128,825,2
44,44,日本,塞内加尔,60,28,528,825,0
45,45,波兰,哥伦比亚,10,16,1128,989,2
46,46,日本,波兰,60,10,528,1128,0
47,47,塞内加尔,哥伦比亚,28,16,825,989,2
